num indice_cubital angle_discoidal enabled
1 2.1999472219556586 1.04918887 1
2 1.9725709926961457 -2.07279893 1
3 1.912109325040287 0.79678323 1
4 1.766738987419629 -0.88444925 1
5 2.174683885073874 3.77101643 1
6 1.755567978588353 -2.83103419 1
7 2.6483408132666786 2.91693291 1
8 2.2464606595644816 0.48527168 1
9 2.2652036422766955 -0.46696521 1
10 2.1304507488328066 0.31833368 1
11 1.7635855038344337 0.24758674 1
12 2.061168670825549 2.2643352 1
13 2.1550857858097086 0.55896548 1
14 1.8398369492974098 -1.22162882 1
15 1.7960207704074045 -3.32993658 1
16 1.9309883800100704 1.95813937 1
17 2.3579317578091348 0.11437937 1
18 2.3641563246703363 4.72000123 1
19 2.0009431738321957 1.14192746 1
20 2.323860207558549 -0.24937112 1
21 2.4169274837153183 3.11512571 1
22 2.438518451795605 3.12495038 1
23 1.6546983240355537 0.03567723 1
24 2.1008502828309856 -1.67323678 1
25 2.451556258901077 1.92027621 1
26 2.2045047576245484 0.4477913 1
27 1.648405708346809 1.42733481 1
28 2.0738653358385304 1.46764585 1
29 1.8673843909381145 -0.93394707 1
30 2.018577763824101 2.17796458 1
31 2.1663084421264327 1.97769558 1
32 1.9433252923609168 -2.35921938 1
33 1.9461753091909735 -2.99952018 1
34 2.001419374640054 0.49915515 1
36 1.795742270842114 0.7146712 1
37 1.8209652630709803 -0.88332128 1
38 2.0030840419244385 1.51200946 1
39 2.104800832874984 -0.48533889 1
40 2.5266837915274953 0.52425715 1
41 2.3439417620742775 -0.29464991 1
42 1.9058831930370983 0.46558643 1
43 2.327148136375791 1.18065986 1
44 2.088160641816822 1.58997281 1
45 1.993584586518185 2.012152799894525 1
